continent,location,total_deaths_per_million,median_age,aged_65_older,aged_70_older,life_expectancy
North America,Saint Lucia,2293.142,34.9,9.721,6.405,76.2
North America,Saint Vincent and the Grenadines,1214.948,31.8,7.724,4.832,72.53
Oceania,Samoa,144.006,22.0,5.606,3.564,73.32
Africa,Sao Tome and Principe,353.493,18.7,2.886,2.162,70.39
Asia,Saudi Arabia,299.795,31.9,3.295,1.845,75.13
Africa,Senegal,111.664,18.7,3.008,1.796,67.94
Europe,Serbia,2658.875,41.2,17.366,3.857,76.0
Africa,Seychelles,1370.169,36.2,8.606,5.586,73.4
Africa,Sierra Leone,15.102,19.1,2.538,1.285,54.7
Asia,Singapore,358.237,42.4,12.922,7.049,83.62
Europe,Slovakia,3878.357,41.2,15.07,9.167,77.54
Europe,Slovenia,4766.858,44.5,19.062,12.93,81.32
Oceania,Solomon Islands,254.777,20.8,3.507,2.043,73.0
Africa,Somalia,76.453,16.8,2.731,1.496,57.4
Africa,South Africa,1644.72,27.3,5.344,3.053,64.13
Asia,South Korea,693.941,43.4,13.914,8.622,83.03
Africa,South Sudan,13.338,19.2,3.441,2.032,57.85
Europe,Spain,2547.692,45.5,19.436,13.799,83.56
Asia,Sri Lanka,740.4,34.1,10.069,5.331,76.98
Africa,Sudan,102.18,19.7,3.548,2.034,65.31
South America,Suriname,2256.195,29.6,6.933,4.229,71.68
Europe,Sweden,2612.58,41.0,19.985,13.433,82.8
Europe,Switzerland,1611.659,43.1,18.436,12.644,83.78
Asia,Syria,140.815,21.7,6.293,2.577,72.7
Asia,Tajikistan,12.276,23.3,3.466,2.155,71.1
Africa,Tanzania,13.073,17.7,3.108,1.874,65.46
Asia,Thailand,483.932,40.1,11.373,6.89,77.15
Africa,Togo,31.904,19.4,2.839,1.525,61.04
Oceania,Tonga,114.228,22.3,5.82,4.032,70.91
North America,Trinidad and Tobago,2934.645,36.2,10.014,5.819,73.51
Africa,Tunisia,2427.773,32.7,8.001,5.075,76.7
Asia,Turkey,1164.953,31.6,8.153,5.061,77.69
Asia,Turkmenistan,0.0,26.9,4.277,2.541,68.19
Africa,Uganda,76.766,16.4,2.168,1.308,63.37
Europe,Ukraine,2677.79,41.4,16.462,11.133,72.06
